id,texto,label
1,"Me gusta bastante la metodología de Ingeniería de Software porque deja tiempo suficiente para terminar las tareas programadas, recomiendo matricularse con él de todas maneras.",0
2,"El nivel del examen parcial estuvo regular, demandó estudiar un par de días enteros pero nada imposible.",0
3,"Las clases de hoy sobre Introducción a la Computación porque no se complica con calificaciones extremas ni sorpresas, todo bajo control por el momento.",0
4,"Me gusta bastante la metodología de Metodologías Ágiles porque hace que los temas difíciles parezcan súper sencillos, mis patas y yo aprobamos fijos.",0
5,"Felizmente el profesor de Costos y Presupuestos porque maneja un nivel intermedio que permite aprender bien, salí muy bien en la última práctica calificada.",0
6,"Me gusta bastante la metodología de Diseño de Sistemas porque dicta de manera muy didáctica y responde dudas, es un gran aporte para la carrera.",0
7,"Me siento frustrado y solo en el grupo de Arquitectura de Computadoras debido a que acumula demasiada teoría pesada y monótona que no se entiende, voy a colapsar si sigo así ps.",1
8,"Tengo una ansiedad terrible por el parcial de Cálculo Avanzado debido a que cambia los criterios de evaluación a última hora siempre, no duermo nada y lloro de frustración.",1
9,El examen de rezagados de Álgebra Lineal contiene preguntas desarrolladas por un comité de profesores muy estricto.,1
10,"Tengo tres prácticas acumuladas esta semana de Gestión de Proyectos debido a que explica de forma confusa y encima grita si le preguntas algo, qué roche jalarme por segunda vez esto.",1
11,"Siento que me voy a jalar el curso de Programación Orientada a Objetos debido a que explica de forma confusa y encima grita si le preguntas algo, una palteada total este ciclo académico.",1
12,"Todo tranquilo en el curso de Cálculo I porque explica con ejemplos reales de la industria peruana, así que voy con confianza al examen.",0
13,"El ciclo va bastante relajado con Química General porque maneja un nivel intermedio que permite aprender bien, recomiendo matricularse con él de todas maneras.",0
14,"Afrontamos problemas de compatibilidad de software en las computadoras asignadas para la práctica calificada, solucionándolos rápidamente gracias al soporte técnico inmediato del personal encargado del laboratorio del campus.",0
15,"La sobrecarga de trabajos me está matando en Química General debido a que sus exámenes no tienen nada que ver con lo avanzado en clase, ya me dio dolor de cabeza de tanto estresarme.",1
16,"Las conferencias internacionales programadas para esta semana ampliaron mi visión sobre la inteligencia artificial, aunque descuidé el avance de mi monografía obligatoria de sistemas operativos por asistir a las ponencias.",1
17,La entrega del avance del portafolio académico se realiza únicamente a través de la sección de tareas virtuales.,0
18,"Tengo que quedarme una horita extra en la biblioteca del campus para terminar de diseñar el algoritmo de ordenamiento, después de eso estaré libre para descansar durante el resto de la tarde.",0
19,"Por fin entendí la teoría compleja de Estadística Aplicada porque dicta de manera muy didáctica y responde dudas, recomiendo matricularse con él de todas maneras.",0
